
Fracture Case
Snakebite Case
Clutch Case
Sticker | Evil Geniuses | 2020 RMR
Souvenir Nova | Predator (Well-Worn)
Sticker | oSee (Glitter) | Rio 2022
StatTrak™ SG 553 | Heavy Metal (Field-Tested)
Sticker | cadiaN (Holo) | Stockholm 2021
Souvenir MAC-10 | Strats (Battle-Scarred)
Sealed Graffiti | Chef Kiss (Dust Brown)
StatTrak™ UMP-45 | Briefing (Minimal Wear)
Souvenir Nova | Predator (Well-Worn)
Sticker | CS20 Classic (Holo)
Dual Berettas | Dualing Dragons (Minimal Wear)
StatTrak™ Music Kit | Skog, III-Arena
Antwerp 2022 Viewer Pass
Sticker | Black Jaggyfish
M4A4 | Neo-Noir (Battle-Scarred)
Tec-9 | Phoenix Chalk (Well-Worn)
Sticker | AmaNEk (Foil) | Berlin 2019
Sticker | Immortals | Krakow 2017
Sticker | Virtus.Pro | Atlanta 2017
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)
PP-Bizon | Cobalt Halftone (Minimal Wear)
M249 | Predator (Well-Worn)
Nova | Wild Six (Well-Worn)
Sticker | qikert | Katowice 2019
Sticker | Lambda
StatTrak™ P250 | Verdigris (Field-Tested)
StatTrak™ Desert Eagle | Light Rail (Field-Tested)
Sticker | Stewie2K | Katowice 2019
Sticker | acoR (Glitter) | Rio 2022
USP-S | Ticket to Hell (Factory New)
CZ75-Auto | Framework (Factory New)
Sticker | Vitality (Gold) | 2020 RMR
Sealed Graffiti | Chef Kiss (Blood Red)
R8 Revolver | Canal Spray (Minimal Wear)
Sticker | ANGE1 | Katowice 2019
StatTrak™ Desert Eagle | Corinthian (Field-Tested)
StatTrak™ CZ75-Auto | Hexane (Field-Tested)
StatTrak™ Galil AR | Kami (Factory New)
AUG | Torque (Factory New)
StatTrak™ G3SG1 | Hunter (Battle-Scarred)
Sticker | Get Smoked (Holo)
Sealed Graffiti | BEEP (Shark White)
Souvenir Five-SeveN | Hot Shot (Minimal Wear)
Sticker | FL1T (Glitter) | Rio 2022
SSG 08 | Hand Brake (Factory New)
Tec-9 | Safety Net (Field-Tested)
StatTrak™ MAC-10 | Allure (Field-Tested)
Sealed Graffiti | Little EZ (Princess Pink)
StatTrak™ Sawed-Off | Black Sand (Battle-Scarred)
Souvenir P250 | Bone Mask (Battle-Scarred)
Sticker | Jame (Holo, Champion) | Rio 2022
Sticker | Natus Vincere | Cluj-Napoca 2015
Souvenir MP7 | Gunsmoke (Minimal Wear)
StatTrak™ Nova | Windblown (Field-Tested)
SSG 08 | Jungle Dashed (Battle-Scarred)
P250 | Contaminant (Field-Tested)
Sticker | Kjaerbye (Foil) | Berlin 2019
Sticker | Xyp9x (Foil) | Berlin 2019
Sticker | FURIA | Katowice 2019
London 2018 Inferno Souvenir Package
G3SG1 | Stinger (Minimal Wear)
P90 | Module (Minimal Wear)
AWP | Acheron (Factory New)
StatTrak™ Sawed-Off | Morris (Battle-Scarred)
Sticker | sinnopsyy (Glitter) | Rio 2022
StatTrak™ P2000 | Red FragCam (Minimal Wear)
StatTrak™ PP-Bizon | Harvester (Battle-Scarred)
Sticker | Jerry (Holo) | Antwerp 2022
Nova | Gila (Factory New)
StatTrak™ Galil AR | Firefight (Battle-Scarred)
Sticker | Ninjas in Pyjamas (Gold) | Antwerp 2022
StatTrak™ Glock-18 | Weasel (Field-Tested)
SSG 08 | Spring Twilly (Minimal Wear)
StatTrak™ SG 553 | Heavy Metal (Well-Worn)
Perfect World Graffiti Box
Sealed Graffiti | Rly (Shark White)
Sticker | Avangar | Berlin 2019
Galil AR | Rocket Pop (Field-Tested)
MAG-7 | Heat (Field-Tested)
Sticker | Witch
Five-SeveN | Hot Shot (Minimal Wear)
Souvenir MAC-10 | Strats (Field-Tested)
StatTrak™ Five-SeveN | Urban Hazard (Factory New)
Sticker | stavn (Glitter) | Rio 2022
Galil AR | Crimson Tsunami (Field-Tested)
Souvenir P250 | Sand Dune (Minimal Wear)
Sticker | TACO (Glitter) | Rio 2022
P250 | Boreal Forest (Factory New)
Sticker | Legendary Eagle
Sticker | Outsiders (Holo) | Rio 2022
Souvenir Nova | Predator (Battle-Scarred)
M249 | System Lock (Field-Tested)
Sticker | nafany (Glitter) | Rio 2022
CZ75-Auto | Tacticat (Battle-Scarred)
G3SG1 | Orange Crash (Battle-Scarred)
UMP-45 | Corporal (Field-Tested)
Sticker | Dead Eye
M4A4 | Global Offensive (Field-Tested)
M4A4 | Dark Blossom (Field-Tested)
Sticker | Renegades (Holo) | Berlin 2019
StatTrak™ Sawed-Off | Black Sand (Field-Tested)
StatTrak™ MP7 | Armor Core (Factory New)
P90 | Teardown (Well-Worn)
Five-SeveN | Kami (Minimal Wear)
Sticker | Fancy Koi
StatTrak™ Galil AR | Black Sand (Battle-Scarred)
USP-S | Lead Conduit (Factory New)
MAC-10 | Lapis Gator (Minimal Wear)
SCAR-20 | Enforcer (Battle-Scarred)
StatTrak™ Dual Berettas | Shred (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Field-Tested)
SCAR-20 | Green Marine (Field-Tested)
Sticker | DeStiNy (Foil) | Berlin 2019
CZ75-Auto | Eco (Battle-Scarred)
AUG | Ricochet (Factory New)
StatTrak™ Five-SeveN | Nightshade (Factory New)
FAMAS | Contrast Spray (Field-Tested)
StatTrak™ Music Kit | Sullivan King, Lock Me Up
SSG 08 | Prey (Well-Worn)
Sealed Graffiti | Uh Oh (Blood Red)
Souvenir SCAR-20 | Carbon Fiber (Factory New)
StatTrak™ UMP-45 | Delusion (Minimal Wear)
SG 553 | Pulse (Minimal Wear)
StatTrak™ AK-47 | Uncharted (Factory New)
Dual Berettas | Ventilators (Minimal Wear)
Souvenir MP7 | Tall Grass (Field-Tested)
Gamma 2 Case Key
AUG | Torque (Minimal Wear)
Sealed Graffiti | Silver Bullet (Frog Green)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
PP-Bizon | Photic Zone (Battle-Scarred)
Souvenir P250 | Sand Dune (Well-Worn)
StatTrak™ Sawed-Off | Morris (Well-Worn)
StatTrak™ Sawed-Off | Yorick (Battle-Scarred)
Sticker | CR4ZY (Holo) | Berlin 2019
Sticker | Kawaii CT (Holo)
Sticker | FaZe Clan (Holo) | Antwerp 2022
StatTrak™ M4A1-S | Flashback (Minimal Wear)
P2000 | Acid Etched (Battle-Scarred)
StatTrak™ AUG | Tom Cat (Minimal Wear)
Sealed Graffiti | Rly (Princess Pink)
Tec-9 | Rust Leaf (Field-Tested)
Souvenir MAG-7 | Rust Coat (Factory New)
MAC-10 | Calf Skin (Factory New)
Sticker | Natus Vincere | Boston 2018
StatTrak™ Galil AR | Black Sand (Field-Tested)
SG 553 | Triarch (Field-Tested)
MP7 | Urban Hazard (Well-Worn)
M4A1-S | VariCamo (Well-Worn)
Gift Package
StatTrak™ P2000 | Ivory (Battle-Scarred)
PP-Bizon | Harvester (Minimal Wear)
SSG 08 | Abyss (Factory New)
SSG 08 | Fever Dream (Minimal Wear)
Souvenir MP7 | Tall Grass (Battle-Scarred)
Sealed Graffiti | Chef Kiss (Battle Green)
MP5-SD | Condition Zero (Battle-Scarred)
AK-47 | Redline (Battle-Scarred)
P90 | Elite Build (Battle-Scarred)
Five-SeveN | Retrobution (Battle-Scarred)
Souvenir Five-SeveN | Forest Night (Well-Worn)
AWP | Pit Viper (Battle-Scarred)
Sticker | max (Glitter) | Rio 2022
Souvenir Five-SeveN | Coolant (Battle-Scarred)
CZ75-Auto | Framework (Field-Tested)
Sticker | Heroic (Gold) | 2020 RMR
Sealed Graffiti | BEEP (SWAT Blue)
Sticker | EliGE | Katowice 2019
P90 | Asiimov (Field-Tested)
Galil AR | Tuxedo (Field-Tested)
Sticker | I Conquered
G3SG1 | VariCamo (Well-Worn)
M249 | Deep Relief (Well-Worn)
StatTrak™ Desert Eagle | Corinthian (Factory New)
StatTrak™ Desert Eagle | Trigger Discipline (Well-Worn)
AWP | Corticera (Minimal Wear)
Souvenir M249 | Humidor (Minimal Wear)
Souvenir PP-Bizon | Irradiated Alert (Battle-Scarred)
P90 | Trigon (Field-Tested)
Desert Eagle | Bronze Deco (Well-Worn)
Sticker | GODSENT (Foil) | Stockholm 2021
StatTrak™ Negev | Lionfish (Field-Tested)
Sticker | rain (Glitter) | Rio 2022
StatTrak™ PP-Bizon | Night Riot (Well-Worn)
M249 | Spectre (Well-Worn)
MP5-SD | Kitbash (Factory New)
Sticker | FaZe Clan | Katowice 2019
Sticker | G2 Esports | Berlin 2019
M4A4 | The Battlestar (Field-Tested)
Sticker | AdreN | Katowice 2019
StatTrak™ P90 | Vent Rush (Field-Tested)
Sticker | daps | Katowice 2019
StatTrak™ PP-Bizon | Runic (Factory New)
Sticker | device (Holo) | Stockholm 2021
Sticker | Virtus.Pro (Holo) | Stockholm 2021
Sticker | Virtus.pro (Gold) | 2020 RMR
StatTrak™ SSG 08 | Mainframe 001 (Minimal Wear)
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear)
M4A1-S | Nightmare (Well-Worn)
Boston 2018 Mirage Souvenir Package
StatTrak™ Dual Berettas | Cartel (Well-Worn)
PP-Bizon | Bamboo Print (Battle-Scarred)
Sticker | Hello SG 553 (Gold)
Sticker | Banana
Sticker | qikert (Glitter) | Rio 2022
XM1014 | Ziggy (Battle-Scarred)
StatTrak™ R8 Revolver | Grip (Factory New)
Sticker | faveN (Glitter) | Rio 2022
Sticker | iM (Glitter) | Rio 2022
SCAR-20 | Outbreak (Well-Worn)
M4A1-S | Briefing (Minimal Wear)
StatTrak™ P2000 | Handgun (Field-Tested)
G3SG1 | Black Sand (Field-Tested)
Glock-18 | Steel Disruption (Factory New)
Souvenir MP9 | Old Roots (Battle-Scarred)
Sticker | w0nderful (Glitter) | Rio 2022
Sealed Graffiti | Silver Bullet (Monster Purple)
Sealed Graffiti | Chef Kiss (Monarch Blue)
Sealed Graffiti | Grimace (Brick Red)
M4A1-S | Leaded Glass (Minimal Wear)
Souvenir UMP-45 | Urban DDPAT (Battle-Scarred)
Sticker | Renegades | Cologne 2015
FAMAS | Doomkitty (Minimal Wear)
AK-47 | Safety Net (Factory New)
Sticker | Jame (Foil) | Berlin 2019
StatTrak™ Music Kit | Juelz, Shooters
MAC-10 | Fade (Factory New)
Sticker | I'm Lit
P90 | Off World (Factory New)
Sticker | VINI | Rio 2022
Dual Berettas | Shred (Battle-Scarred)
MP9 | Capillary (Minimal Wear)
Sticker | Spinx (Holo) | Antwerp 2022
Sticker | Heroic (Holo) | Rio 2022
Sawed-Off | Kiss♥Love (Battle-Scarred)
StatTrak™ P90 | Elite Build (Field-Tested)
M4A4 | Global Offensive (Factory New)
Galil AR | Tornado (Battle-Scarred)
Souvenir MAC-10 | Palm (Field-Tested)
Music Kit | The Verkkars, EZ4ENCE
Sticker | Xizt | London 2018
G3SG1 | Hunter (Factory New)
StatTrak™ CZ75-Auto | Polymer (Field-Tested)
Souvenir G3SG1 | Desert Storm (Battle-Scarred)
Sticker | Headshot Guarantee
StatTrak™ SCAR-20 | Grotto (Factory New)
P2000 | Pulse (Factory New)
Five-SeveN | Copper Galaxy (Factory New)
StatTrak™ SCAR-20 | Crimson Web (Field-Tested)
Sticker | The Guru
Sticker | Leaving The Station (Holo)
SG 553 | Heavy Metal (Factory New)
SSG 08 | Blue Spruce (Factory New)
Arno The Overgrown | Guerrilla Warfare
Souvenir AUG | Spalted Wood (Well-Worn)
Sticker | boltz (Glitter) | Rio 2022
AUG | Chameleon (Factory New)
P250 | Wingshot (Field-Tested)
StatTrak™ PP-Bizon | Water Sigil (Field-Tested)
MAG-7 | Heat (Well-Worn)
P90 | Verdant Growth (Field-Tested)
Sticker | Lucky | Berlin 2019
M249 | Emerald Poison Dart (Minimal Wear)
Sticker | Team Kinguin | Cologne 2015
Negev | Loudmouth (Field-Tested)
USP-S | Para Green (Field-Tested)
XM1014 | Blue Spruce (Factory New)
MP7 | Groundwater (Battle-Scarred)
Sealed Graffiti | Rly (Desert Amber)
StatTrak™ Glock-18 | Warhawk (Minimal Wear)
Souvenir Sawed-Off | Rust Coat (Field-Tested)
Sealed Graffiti | Grimace (Blood Red)
AUG | Carved Jade (Factory New)
AK-47 | Legion of Anubis (Minimal Wear)
MP9 | Storm (Battle-Scarred)
Nova | Plume (Field-Tested)
Sticker | dupreeh (Glitter) | Rio 2022
Souvenir PP-Bizon | Facility Sketch (Factory New)
SSG 08 | Threat Detected (Field-Tested)
Patch | Payback
Sealed Graffiti | Applause (Dust Brown)
M4A4 | Dark Blossom (Minimal Wear)
StatTrak™ MAG-7 | Popdog (Field-Tested)
Sticker | HellRaisers | Berlin 2019
Sticker | rain (Foil) | Berlin 2019
MAC-10 | Whitefish (Battle-Scarred)
Souvenir UMP-45 | Indigo (Well-Worn)
Galil AR | Kami (Factory New)
StatTrak™ M249 | Magma (Minimal Wear)
Tec-9 | Groundwater (Factory New)
Sticker | forZe eSports (Foil) | Berlin 2019
Sticker | This Is Fine (T)
AWP | Atheris (Factory New)
StatTrak™ AUG | Amber Slipstream (Factory New)
StatTrak™ Negev | Prototype (Battle-Scarred)
Sealed Graffiti | Chess King (Shark White)
StatTrak™ Sawed-Off | Black Sand (Well-Worn)
Sticker | cadiaN (Glitter) | Rio 2022
Souvenir Five-SeveN | Coolant (Well-Worn)
StatTrak™ G3SG1 | Stinger (Field-Tested)
StatTrak™ UMP-45 | Roadblock (Battle-Scarred)
Nova | Moon in Libra (Factory New)
StatTrak™ G3SG1 | Stinger (Field-Tested)
StatTrak™ UMP-45 | Roadblock (Battle-Scarred)
Nova | Moon in Libra (Factory New)
Rezan the Redshirt | Sabre
StatTrak™ SSG 08 | Abyss (Minimal Wear)
Patch | Metal Distinguished Master Guardian ★
Tec-9 | Flash Out (Factory New)
Souvenir AUG | Radiation Hazard (Minimal Wear)
Souvenir Dual Berettas | Colony (Well-Worn)
Souvenir MAG-7 | Irradiated Alert (Minimal Wear)
Music Kit | AWOLNATION, I Am
Souvenir MAG-7 | Irradiated Alert (Battle-Scarred)
P90 | Module (Field-Tested)
Nova | Predator (Factory New)
StatTrak™ AUG | Torque (Field-Tested)
StatTrak™ P90 | Off World (Battle-Scarred)
StatTrak™ AUG | Triqua (Battle-Scarred)
Souvenir Sawed-Off | Irradiated Alert (Well-Worn)
Souvenir M4A4 | Mainframe (Factory New)
Sealed Graffiti | Bock Bock (Frog Green)
StatTrak™ Negev | Terrain (Field-Tested)
Dual Berettas | Melondrama (Minimal Wear)
Souvenir XM1014 | Urban Perforated (Battle-Scarred)
Sticker | allu | Katowice 2019
Sticker | balblna | London 2018
Souvenir UMP-45 | Indigo (Battle-Scarred)
StatTrak™ USP-S | Ticket to Hell (Minimal Wear)
USP-S | Whiteout (Minimal Wear)
Sticker | interz (Holo) | Stockholm 2021
Sticker | Team Liquid (Holo) | Stockholm 2021
Sticker | After Hours Stabbyfish
Sticker | BIG | Katowice 2019
Sticker | IEM | Katowice 2019
StatTrak™ Galil AR | Rocket Pop (Well-Worn)
StatTrak™ CZ75-Auto | Twist (Battle-Scarred)
USP-S | Stainless (Minimal Wear)
UMP-45 | Caramel (Field-Tested)
StatTrak™ MAC-10 | Lapis Gator (Field-Tested)
Music Kit | Tim Huling, Neo Noir
Sticker | Zeusception (Holo)
UMP-45 | Arctic Wolf (Battle-Scarred)
SG 553 | Darkwing (Battle-Scarred)
P2000 | Imperial (Field-Tested)
Souvenir MAC-10 | Urban DDPAT (Battle-Scarred)
Sticker | Grayhound Gaming | Berlin 2019
FAMAS | Hexane (Factory New)
FAMAS | Colony (Factory New)
StatTrak™ UMP-45 | Corporal (Battle-Scarred)
StatTrak™ Galil AR | Black Sand (Well-Worn)
P90 | Blind Spot (Field-Tested)
AUG | Syd Mead (Battle-Scarred)
SG 553 | Damascus Steel (Factory New)
Sticker | bodyy | London 2018
StatTrak™ USP-S | Stainless (Field-Tested)
StatTrak™ Desert Eagle | Directive (Well-Worn)
Souvenir PP-Bizon | Facility Sketch (Minimal Wear)
Stockholm 2021 Overpass Souvenir Package
Galil AR | Crimson Tsunami (Factory New)
StatTrak™ MAG-7 | Monster Call (Well-Worn)
M4A1-S | Hyper Beast (Well-Worn)
Sticker | woxic (Foil) | Berlin 2019
Sticker | DeadFox (Foil) | Berlin 2019
StatTrak™ Desert Eagle | Light Rail (Minimal Wear)
Desert Eagle | Night (Minimal Wear)
Sealed Graffiti | FACEIT | London 2018
StatTrak™ P2000 | Turf (Battle-Scarred)
StatTrak™ UMP-45 | Grand Prix (Field-Tested)
Desert Eagle | Conspiracy (Minimal Wear)
MAG-7 | Irradiated Alert (Field-Tested)
Sealed Graffiti | Rly (Jungle Green)
Sealed Graffiti | Sheriff (Monster Purple)
StatTrak™ Nova | Wood Fired (Battle-Scarred)
Sealed Graffiti | Thoughtfull (Dust Brown)
Sealed Graffiti | Uh Oh (Monster Purple)
StatTrak™ Glock-18 | Sacrifice (Well-Worn)
AUG | Stymphalian (Field-Tested)
Souvenir MAC-10 | Calf Skin (Battle-Scarred)
XM1014 | Scumbria (Factory New)
CZ75-Auto | Imprint (Factory New)
StatTrak™ USP-S | Lead Conduit (Battle-Scarred)
Patch | Vitality | Stockholm 2021
CZ75-Auto | Circaetus (Factory New)
Sticker | Evil Geniuses (Foil) | 2020 RMR
Souvenir MAC-10 | Indigo (Well-Worn)
Sealed Graffiti | Shining Star (Blood Red)
Sticker | REZ (Foil) | Berlin 2019
M4A1-S | Briefing (Battle-Scarred)
StatTrak™ XM1014 | Seasons (Factory New)
StatTrak™ SG 553 | Aerial (Battle-Scarred)
SG 553 | Ultraviolet (Minimal Wear)
Sticker | FL1T (Foil) | Berlin 2019
Sticker | North (Holo) | Berlin 2019
AK-47 | The Empress (Field-Tested)
Sawed-Off | Limelight (Well-Worn)
PP-Bizon | Fuel Rod (Battle-Scarred)
Souvenir PP-Bizon | Candy Apple (Minimal Wear)
StatTrak™ M249 | System Lock (Field-Tested)
Sealed Graffiti | Chef Kiss (Jungle Green)
Sticker | G2 Esports (Glitter) | Antwerp 2022
Glock-18 | Snack Attack (Well-Worn)
Sticker | I See You (Holo)
Sticker | JDC (Glitter) | Rio 2022
StatTrak™ Tec-9 | Isaac (Field-Tested)
Sticker | Showdown (Foil)
XM1014 | Zombie Offensive (Battle-Scarred)
Souvenir MP7 | Motherboard (Minimal Wear)
UMP-45 | Exposure (Well-Worn)
SCAR-20 | Outbreak (Minimal Wear)
M4A4 | Griffin (Factory New)
AK-47 | Cartel (Factory New)
StatTrak™ Negev | Man-o'-war (Field-Tested)
Dual Berettas | Melondrama (Well-Worn)
StatTrak™ CZ75-Auto | Pole Position (Field-Tested)
Sticker | kennyS (Foil) | Berlin 2019
StatTrak™ Nova | Wood Fired (Minimal Wear)
Sticker | Fnatic | Cologne 2015
Galil AR | Rocket Pop (Well-Worn)
Tec-9 | Bamboo Forest (Minimal Wear)
M249 | System Lock (Factory New)
Dual Berettas | Urban Shock (Field-Tested)
Nova | Green Apple (Minimal Wear)
USP-S | Orion (Factory New)
Sawed-Off | Irradiated Alert (Field-Tested)
Nova | Army Sheen (Field-Tested)
XM1014 | Quicksilver (Factory New)
Five-SeveN | Berries And Cherries (Factory New)
Souvenir Dual Berettas | Oil Change (Minimal Wear)
Sealed Graffiti | Silver Bullet (Tiger Orange)
Souvenir PP-Bizon | Chemical Green (Minimal Wear)
Sticker | The Bomber
Galil AR | Stone Cold (Field-Tested)
Sealed Graffiti | 200 IQ (Jungle Green)
SCAR-20 | Crimson Web (Minimal Wear)
Sticker | BIG | Boston 2018
StatTrak™ SG 553 | Darkwing (Well-Worn)
Sticker | Jame (Holo) | Stockholm 2021
Souvenir MAC-10 | Strats (Minimal Wear)
Sticker | Liquid (Foil) | 2020 RMR
Souvenir Dual Berettas | Colony (Battle-Scarred)
Sticker | svyat (Foil) | Berlin 2019
AUG | Amber Slipstream (Well-Worn)
Tec-9 | Fuel Injector (Well-Worn)
Souvenir MAG-7 | Metallic DDPAT (Factory New)
Desert Eagle | Crimson Web (Minimal Wear)
StatTrak™ FAMAS | Sergeant (Field-Tested)
MP9 | Rose Iron (Factory New)
StatTrak™ MP9 | Modest Threat (Battle-Scarred)
StatTrak™ MAG-7 | SWAG-7 (Field-Tested)
AK-47 | Legion of Anubis (Factory New)
Souvenir M249 | Humidor (Factory New)
P250 | Crimson Kimono (Field-Tested)
StatTrak™ Desert Eagle | Conspiracy (Factory New)
Sealed Graffiti | Rly (Brick Red)
MAC-10 | Malachite (Field-Tested)
CZ75-Auto | Tacticat (Factory New)
StatTrak™ Five-SeveN | Urban Hazard (Minimal Wear)
FAMAS | Meltdown (Field-Tested)
Sticker | fnx (Holo) | Antwerp 2022
Sticker | stavn (Holo) | Stockholm 2021
StatTrak™ R8 Revolver | Junk Yard (Battle-Scarred)
StatTrak™ R8 Revolver | Junk Yard (Minimal Wear)
Sealed Graffiti | Happy Cat (War Pig Pink)
Sealed Graffiti | BEEP (Violent Violet)
Sawed-Off | Black Sand (Factory New)
Sticker | SK Gaming | Boston 2018
Chroma 3 Case Key
P2000 | Handgun (Minimal Wear)
ESL One Cologne 2014 Legends
CZ75-Auto | Tuxedo (Minimal Wear)
PP-Bizon | Antique (Field-Tested)
StatTrak™ UMP-45 | Corporal (Minimal Wear)
StatTrak™ FAMAS | Sergeant (Battle-Scarred)
Five-SeveN | Contractor (Field-Tested)
Souvenir FAMAS | CaliCamo (Well-Worn)
StatTrak™ P250 | Verdigris (Battle-Scarred)
StatTrak™ PP-Bizon | Jungle Slipstream (Minimal Wear)
MP9 | Ruby Poison Dart (Factory New)
CZ75-Auto | Pole Position (Well-Worn)
StatTrak™ M4A4 | Griffin (Minimal Wear)
Sticker | buster (Holo) | Antwerp 2022
Sticker | misutaaa (Holo) | Stockholm 2021
Galil AR | Rocket Pop (Factory New)
Sticker | f0rest (Foil) | Berlin 2019
Sealed Graffiti | Dead Now (Tiger Orange)
Dual Berettas | Balance (Minimal Wear)
StatTrak™ G3SG1 | Azure Zebra (Factory New)
SG 553 | Dragon Tech (Battle-Scarred)
Sticker | chopper (Glitter) | Rio 2022
MP5-SD | Autumn Twilly (Field-Tested)
FAMAS | CaliCamo (Field-Tested)
MP5-SD | Bamboo Garden (Factory New)
Sealed Graffiti | Little EZ (Battle Green)
Sealed Graffiti | Rly (Cash Green)
Sticker | autimatic | Katowice 2019
Sticker | Magisk | Katowice 2019
Sticker | Renegades | Boston 2018
Sticker | tabseN | Krakow 2017
Five-SeveN | Violent Daimyo (Factory New)
Sticker | Hard Cluck Life
Tec-9 | Urban DDPAT (Factory New)
Sticker | Hard Cluck Life
Tec-9 | Urban DDPAT (Factory New)
Sticker | sergej (Foil) | Berlin 2019
StatTrak™ Negev | Terrain (Factory New)
Sawed-Off | Zander (Well-Worn)
UMP-45 | Riot (Field-Tested)
Sealed Graffiti | BEEP (Monster Purple)
Tec-9 | Sandstorm (Field-Tested)
AK-47 | Black Laminate (Field-Tested)
StatTrak™ SG 553 | Atlas (Battle-Scarred)
StatTrak™ MAC-10 | Monkeyflage (Well-Worn)
P2000 | Red FragCam (Field-Tested)
P250 | Inferno (Battle-Scarred)
Souvenir P2000 | Grassland (Minimal Wear)
SG 553 | Lush Ruins (Well-Worn)
P90 | Cocoa Rampage (Factory New)
Souvenir SSG 08 | Tropical Storm (Field-Tested)
Souvenir XM1014 | Urban Perforated (Well-Worn)
P250 | Mint Kimono (Battle-Scarred)
Operation Bloodhound Access Pass
Desert Eagle | Naga (Battle-Scarred)
M4A4 | Desert-Strike (Factory New)
P90 | Teardown (Battle-Scarred)
P250 | Bone Mask (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Battle-Scarred)
StatTrak™ USP-S | Guardian (Field-Tested)
Dual Berettas | Panther (Minimal Wear)
MP7 | Abyssal Apparition (Minimal Wear)
R8 Revolver | Amber Fade (Field-Tested)
Souvenir R8 Revolver | Nitro (Minimal Wear)
SG 553 | Cyrex (Field-Tested)
MP9 | Capillary (Factory New)
Sealed Graffiti | Rly (War Pig Pink)
M4A4 | Tornado (Minimal Wear)
Patch | FURIA | Stockholm 2021
AK-47 | Safari Mesh (Factory New)
StatTrak™ Tec-9 | Isaac (Battle-Scarred)
P90 | Facility Negative (Field-Tested)
XM1014 | Black Tie (Field-Tested)
StatTrak™ P2000 | Handgun (Well-Worn)
StatTrak™ Tec-9 | Brother (Well-Worn)
StatTrak™ P2000 | Red FragCam (Battle-Scarred)
StatTrak™ P90 | Freight (Factory New)
StatTrak™ Glock-18 | Vogue (Field-Tested)
StatTrak™ Glock-18 | Moonrise (Battle-Scarred)
AK-47 | Rat Rod (Minimal Wear)
Sticker | Vitality (Holo) | Antwerp 2022
Sticker | Qikert (Holo) | Stockholm 2021
Sticker | huNter- (Holo) | Stockholm 2021
FAMAS | Survivor Z (Factory New)
StatTrak™ USP-S | Guardian (Minimal Wear)
Sealed Graffiti | Dead Now (Dust Brown)
Sticker | Team Liquid | Katowice 2019
Sticker | tiziaN | Katowice 2019
MP7 | Motherboard (Battle-Scarred)
Sticker | FaZe Clan | Boston 2018
Sticker | Quantum Bellator Fire | Boston 2018
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015
G3SG1 | Orange Kimono (Minimal Wear)
Sticker | Chi Bomb
StatTrak™ Negev | Desert-Strike (Field-Tested)
Nova | Koi (Factory New)
SCAR-20 | Storm (Battle-Scarred)
StatTrak™ MAG-7 | Memento (Minimal Wear)
Souvenir Dual Berettas | Drift Wood (Well-Worn)
AK-47 | Emerald Pinstripe (Factory New)
Tec-9 | Bamboozle (Minimal Wear)
Galil AR | Crimson Tsunami (Minimal Wear)
StatTrak™ P90 | Elite Build (Battle-Scarred)
FAMAS | Pulse (Minimal Wear)
Sticker | nexa (Foil) | Berlin 2019
Sticker | woxic (Holo) | Antwerp 2022
StatTrak™ MAG-7 | Cobalt Core (Factory New)
M249 | Contrast Spray (Well-Worn)
StatTrak™ Five-SeveN | Urban Hazard (Field-Tested)
Sticker | stanislaw | Katowice 2019
AUG | Amber Slipstream (Minimal Wear)
P250 | See Ya Later (Field-Tested)
Sticker | Conspiracy Club (Holo)
P250 | Visions (Field-Tested)
Sticker | s1mple (Gold) | Stockholm 2021
Souvenir Sawed-Off | Irradiated Alert (Minimal Wear)
Souvenir P90 | Ash Wood (Field-Tested)
Sticker | Cloud9 (Holo) | Katowice 2019
Sticker | dupreeh | Katowice 2019
Dual Berettas | Urban Shock (Factory New)
Desert Eagle | Urban Rubble (Well-Worn)
StatTrak™ Glock-18 | Grinder (Factory New)
StatTrak™ SG 553 | Ol' Rusty (Factory New)
Sealed Graffiti | Bock Bock (Monarch Blue)
StatTrak™ Galil AR | Rocket Pop (Field-Tested)
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)
Sticker | PENTA Sports | Krakow 2017
StatTrak™ Galil AR | Kami (Minimal Wear)
Sticker | Heads Up
StatTrak™ Tec-9 | Cracked Opal (Field-Tested)
MP9 | Hypnotic (Factory New)
FAMAS | Rapid Eye Movement (Field-Tested)
Sealed Graffiti | Rly (Monster Purple)
Sealed Graffiti | Oops (Jungle Green)
StatTrak™ SG 553 | Ol' Rusty (Factory New)
Sealed Graffiti | Bock Bock (Monarch Blue)
StatTrak™ Galil AR | Rocket Pop (Field-Tested)
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)
Sticker | PENTA Sports | Krakow 2017
StatTrak™ Galil AR | Kami (Minimal Wear)
Sticker | Heads Up
StatTrak™ Tec-9 | Cracked Opal (Field-Tested)
MP9 | Hypnotic (Factory New)
FAMAS | Rapid Eye Movement (Field-Tested)
Sealed Graffiti | Rly (Monster Purple)
Sealed Graffiti | Oops (Jungle Green)
StatTrak™ SCAR-20 | Grotto (Field-Tested)
